user_id,full_name,cpf,gender,birth_date,state,city,region,signup_date,monthly_income
34,Paula Carvalho,28191847431,M,1984-01-02,GO,Goiânia,Centro-Oeste,2020-06-13,3197.15
35,Bruno Pereira,88529553756,M,2015-09-12,SP,São Paulo,Sudeste,2021-12-08,1913.03
36,Karina Ribeiro,08156382532,M,1987-09-17,DF,Brasília,Centro-Oeste,2020-05-18,3188.89
37,Nathalia Silva,79858209056,M,2006-06-01,RJ,Rio de Janeiro,Sudeste,2020-05-14,5272.88
38,Rafael Gomes,22621066194,F,2019-08-27,RJ,Rio de Janeiro,Sudeste,2020-08-30,4055.84
39,Sabrina Rodrigues,95613310939,F,1974-10-10,AM,Manaus,Norte,2020-09-09,20241.49
40,Diego Lima,38238066266,F,1985-11-14,DF,Brasília,Centro-Oeste,2020-07-16,2119.65
41,Luiz Araújo,77851206778,M,1993-03-16,RS,Porto Alegre,Sul,2021-10-21,2717.5
42,Diego Costa,38067006437,M,2014-07-07,DF,Brasília,Centro-Oeste,2021-07-24,9824.92
43,Gabriel Araújo,91816111695,F,2020-12-07,CE,Fortaleza,Nordeste,2021-11-18,2035.12
44,Sabrina Martins,42656440137,F,1977-12-24,AM,Manaus,Norte,2020-07-22,5722.49
45,Diego Santos,86106534545,F,1988-10-01,GO,Goiânia,Centro-Oeste,2021-10-27,1719.01
46,Vitória Pereira,79480864093,F,2011-07-25,MG,Belo Horizonte,Sudeste,2020-03-12,11713.66
47,Bruno Santos,61276380084,F,1990-07-30,DF,Brasília,Centro-Oeste,2021-10-05,5046.27
48,Helena Almeida,15160050478,F,1996-10-06,BA,Salvador,Nordeste,2020-10-08,4574.32
49,Eduarda Oliveira,27857671711,M,1982-05-18,ES,Vitória,Sudeste,2020-03-13,2540.11
50,Mariana Almeida,04318696832,M,2008-09-30,AM,Manaus,Norte,2021-12-01,4596.05
51,Otávio Costa,30591255481,F,1995-10-23,PR,Curitiba,Sul,2021-10-27,5016.46
52,Gabriel Gomes,91370857882,M,2003-06-06,MG,Belo Horizonte,Sudeste,2021-05-04,1578.31
53,Gabriel Santos,92989214930,M,1994-10-29,SC,Florianópolis,Sul,2021-04-28,2462.59
54,Rafael Costa,02701900334,M,2005-10-10,RJ,Rio de Janeiro,Sudeste,2021-05-11,3737.06
55,Bruno Silva,39930242401,M,2020-05-31,PR,Curitiba,Sul,2020-04-27,2714.92
56,Paula Lima,58993110247,F,1994-02-06,CE,Fortaleza,Nordeste,2021-05-15,4537.78
57,Igor Santos,75416683889,M,2006-04-12,GO,Goiânia,Centro-Oeste,2021-06-29,2783.77
58,Ana Almeida,72987317232,F,1968-10-03,BA,Salvador,Nordeste,2020-04-25,10324.22
59,Ana Carvalho,41143901984,F,1988-02-17,PR,Curitiba,Sul,2020-12-11,5135.66
60,Paula Gomes,44599243323,M,2003-10-02,BA,Salvador,Nordeste,2020-04-24,2131.99
61,Diego Souza,77257531268,M,2020-07-14,PA,Belém,Norte,2020-03-25,11767.86
62,Paula Pereira,07301641760,F,2006-09-18,PA,Belém,Norte,2021-07-25,3290.77
63,Karina Gomes,97966784153,F,1980-07-20,PR,Curitiba,Sul,2020-08-21,20449.31
64,Gabriel Araújo,87438248848,F,2022-06-14,PA,Belém,Norte,2020-10-19,1983.61
65,Thiago Ferreira,34301805394,M,1973-04-01,AM,Manaus,Norte,2021-01-27,4835.73
66,Mariana Pereira,58003717394,M,1981-12-17,GO,Goiânia,Centro-Oeste,2020-04-06,3243.0
67,Rafael Almeida,52199266330,M,1967-12-13,ES,Vitória,Sudeste,2020-01-28,6345.56
68,Vitória Lima,84011522799,M,1979-04-28,MG,Belo Horizonte,Sudeste,2020-08-21,3714.45
69,Otávio Carvalho,71624067451,F,2013-11-01,PR,Curitiba,Sul,2021-04-25,2933.59
70,Bruno Lima,26697139748,M,1970-02-08,ES,Vitória,Sudeste,2021-03-14,2160.82
71,Karina Ribeiro,55105324545,M,1969-09-14,MG,Belo Horizonte,Sudeste,2021-12-31,3790.77
72,Thiago Gomes,76359180826,F,1985-11-21,RJ,Rio de Janeiro,Sudeste,2021-05-20,3288.32
73,Rafael Carvalho,87751664054,F,1998-10-11,ES,Vitória,Sudeste,2020-10-14,5453.67
74,Mariana Ribeiro,59646291476,M,1971-07-28,PR,Curitiba,Sul,2021-10-29,10358.04
75,Diego Costa,85673452048,M,1976-12-18,MG,Belo Horizonte,Sudeste,2020-05-14,5069.24
76,Nathalia Rocha,33785713194,F,1980-07-26,PR,Curitiba,Sul,2020-07-03,2513.65
77,Thiago Rodrigues,42240698451,M,1973-04-14,MG,Belo Horizonte,Sudeste,2021-10-18,1580.49
78,Rafael Martins,83784672432,M,1999-08-13,RS,Porto Alegre,Sul,2021-01-05,5775.9
79,João Ferreira,39676948136,M,2001-05-15,GO,Goiânia,Centro-Oeste,2021-10-07,4869.62
80,Eduarda Carvalho,98317323048,F,2023-08-13,SP,São Paulo,Sudeste,2020-08-14,7733.28
81,João Souza,22074394173,F,2010-07-01,ES,Vitória,Sudeste,2020-03-25,2396.37
82,Diego Ferreira,03074809350,F,1997-09-14,PE,Recife,Nordeste,2020-03-06,2494.83
83,Sabrina Souza,38136221990,F,1984-05-26,MG,Belo Horizonte,Sudeste,2021-12-29,5873.54
84,Diego Silva,09371176738,M,1972-10-27,PR,Curitiba,Sul,2021-06-23,3899.48
85,Luiz Almeida,24463754845,F,2017-08-21,SC,Florianópolis,Sul,2021-06-18,4031.57
86,Sabrina Ferreira,26965065620,F,1973-05-17,RS,Porto Alegre,Sul,2021-11-05,5262.25
87,Thiago Pereira,77352261583,M,2012-02-27,MG,Belo Horizonte,Sudeste,2020-04-06,2425.08
88,Paula Costa,05599415585,F,2004-04-20,ES,Vitória,Sudeste,2020-08-31,5110.48
89,Bruno Oliveira,80762239423,F,2011-02-14,MG,Belo Horizonte,Sudeste,2020-03-11,14834.94
90,Luiz Almeida,52513021331,M,1979-07-08,PR,Curitiba,Sul,2020-01-23,3992.54
91,Luiz Araújo,47851282563,F,1975-07-06,RS,Porto Alegre,Sul,2020-12-16,2845.31
92,Gabriel Santos,83454710740,M,2023-01-28,SC,Florianópolis,Sul,2021-10-30,10142.8
93,Rafael Martins,81887043110,M,1984-02-10,SP,São Paulo,Sudeste,2021-07-31,2206.1
94,Paula Silva,67111426807,M,2021-03-02,AM,Manaus,Norte,2020-08-31,2220.61
95,Karina Gomes,37144277760,M,2007-07-27,SC,Florianópolis,Sul,2020-12-19,2931.2
96,Diego Ribeiro,15201866743,F,2022-12-12,PA,Belém,Norte,2020-11-29,1505.63
97,Carla Lima,38435873187,M,2023-08-03,PE,Recife,Nordeste,2021-04-05,3831.76
98,Vitória Souza,98181839861,F,2003-12-04,AM,Manaus,Norte,2020-09-22,4727.79
99,Karina Santos,68403292155,F,1997-08-23,PE,Recife,Nordeste,2021-08-16,3707.9
100,Luiz Santos,24956400202,F,2019-01-01,BA,Salvador,Nordeste,2021-02-21,1601.28
101,Gabriel Carvalho,12996306417,F,1970-10-26,SP,São Paulo,Sudeste,2020-04-11,3049.56
102,João Costa,13936252048,M,2013-11-14,SC,Florianópolis,Sul,2021-04-23,2340.81
103,Gabriel Santos,07140243547,F,1965-12-17,SC,Florianópolis,Sul,2021-04-25,2597.79
104,Carla Ribeiro,02466996785,M,1985-05-29,MG,Belo Horizonte,Sudeste,2021-07-04,2781.5
105,Helena Lima,80371605870,M,2003-10-20,RS,Porto Alegre,Sul,2020-09-17,2458.19
106,Eduarda Almeida,83795012554,M,2010-06-24,PR,Curitiba,Sul,2020-10-15,4588.99
107,João Silva,75978692382,M,2003-05-19,GO,Goiânia,Centro-Oeste,2020-06-25,2571.03
108,Paula Lima,51590684270,M,1982-12-25,MG,Belo Horizonte,Sudeste,2020-11-13,5428.18
109,Helena Costa,71086242020,F,1978-12-08,GO,Goiânia,Centro-Oeste,2021-10-19,1552.49
110,Paula Silva,57503214779,F,2015-09-04,AM,Manaus,Norte,2021-02-16,8686.72
111,Eduarda Ferreira,93597262736,M,1968-01-02,GO,Goiânia,Centro-Oeste,2021-09-10,8727.98
112,Helena Rodrigues,18868174205,F,2002-05-26,RS,Porto Alegre,Sul,2021-04-25,5644.51
113,Ana Rocha,58291369796,M,1991-04-19,BA,Salvador,Nordeste,2020-04-12,10614.8
114,Luiz Gomes,07449223545,F,1980-09-18,PR,Curitiba,Sul,2021-05-02,2732.51
115,Otávio Carvalho,10448348650,F,1993-09-27,PR,Curitiba,Sul,2020-10-19,5627.08
116,Mariana Silva,91806983512,M,1995-08-12,CE,Fortaleza,Nordeste,2021-11-11,2674.62
117,Ana Ferreira,55987758116,M,2022-09-18,PE,Recife,Nordeste,2021-01-12,13930.58
118,Thiago Rodrigues,59372129095,F,1987-07-28,PE,Recife,Nordeste,2021-10-27,1779.53
119,Luiz Rodrigues,71882983733,F,2021-07-08,PE,Recife,Nordeste,2021-10-15,9882.22
120,Thiago Santos,93795897290,M,2019-06-21,SC,Florianópolis,Sul,2021-04-24,1963.46
121,Rafael Souza,84216946539,M,1965-08-26,PE,Recife,Nordeste,2020-08-22,1947.66
122,Gabriel Rocha,36988091003,F,1978-09-06,BA,Salvador,Nordeste,2021-03-24,2806.96
123,Ana Ferreira,89985818307,M,1994-01-08,RS,Porto Alegre,Sul,2021-01-05,5527.54
124,Nathalia Rodrigues,53336872219,M,1994-12-03,PA,Belém,Norte,2021-09-07,4121.61
125,Paula Almeida,10165579920,M,1969-07-13,MG,Belo Horizonte,Sudeste,2020-12-03,15628.74
126,Helena Costa,79244650370,F,1965-11-18,SP,São Paulo,Sudeste,2020-10-29,8535.52
127,Ana Santos,35851860856,F,2004-07-12,RJ,Rio de Janeiro,Sudeste,2020-06-20,3855.72
128,João Almeida,92023496325,F,1989-06-03,ES,Vitória,Sudeste,2020-07-21,1506.82
129,João Silva,29833321559,M,1990-03-26,PE,Recife,Nordeste,2020-05-25,2321.9
130,Bruno Carvalho,32617085532,F,2006-12-08,CE,Fortaleza,Nordeste,2020-05-26,4617.47
131,Sabrina Souza,91998669982,F,1965-02-25,DF,Brasília,Centro-Oeste,2020-08-02,8794.3
132,Eduarda Silva,47059866551,F,1990-09-26,GO,Goiânia,Centro-Oeste,2020-02-08,9216.63
133,Gabriel Santos,97629073214,F,1987-10-04,AM,Manaus,Norte,2021-08-24,5718.95
134,Gabriel Santos,36771024866,F,2011-08-27,PE,Recife,Nordeste,2021-01-10,4253.83
135,Otávio Araújo,95284602954,F,1969-09-04,PR,Curitiba,Sul,2021-03-11,1842.19
136,Eduarda Rocha,00999438744,M,2008-01-27,DF,Brasília,Centro-Oeste,2021-03-11,23435.86
137,Eduarda Rocha,36271690892,M,1993-12-16,RJ,Rio de Janeiro,Sudeste,2021-08-29,2244.94
138,Karina Silva,55333407245,F,2016-02-23,CE,Fortaleza,Nordeste,2021-09-18,1699.97
139,João Ferreira,28153062948,F,2001-12-25,GO,Goiânia,Centro-Oeste,2021-05-21,2505.51
140,Karina Oliveira,39745811486,M,1990-03-09,GO,Goiânia,Centro-Oeste,2021-05-16,4508.14
141,João Ribeiro,74468014365,F,1968-11-16,BA,Salvador,Nordeste,2020-03-24,6560.86
142,Helena Rocha,16994848192,M,2006-12-19,MG,Belo Horizonte,Sudeste,2020-02-17,10283.44
143,Felipe Gomes,25229267459,F,2000-08-18,SP,São Paulo,Sudeste,2021-01-18,4045.01
144,Otávio Silva,11209309777,M,2005-01-23,DF,Brasília,Centro-Oeste,2020-12-12,5623.6
145,Igor Almeida,86404127463,M,1988-11-28,AM,Manaus,Norte,2021-12-14,2377.26
146,Eduarda Martins,11381354490,F,1999-12-11,AM,Manaus,Norte,2020-11-23,5493.05
147,Vitória Almeida,94733204788,F,1965-09-08,MG,Belo Horizonte,Sudeste,2021-06-16,2479.45
148,Otávio Costa,22067956896,M,2009-03-10,DF,Brasília,Centro-Oeste,2020-09-09,3169.39
149,Eduarda Lima,34377780318,M,2019-12-31,CE,Fortaleza,Nordeste,2020-08-20,2075.16
150,Vitória Souza,44567558018,M,1969-09-30,ES,Vitória,Sudeste,2020-01-11,1996.44
151,Felipe Rocha,75839129787,M,2007-03-18,ES,Vitória,Sudeste,2021-04-10,5005.02
152,Mariana Araújo,60418552997,F,1972-12-04,SC,Florianópolis,Sul,2020-10-20,2192.96
153,Rafael Almeida,69696953172,F,2008-02-08,PE,Recife,Nordeste,2020-09-04,2438.82
154,Vitória Silva,60308721943,F,2009-01-14,PA,Belém,Norte,2020-01-10,14816.32
155,Mariana Rodrigues,19979332546,M,1989-07-14,ES,Vitória,Sudeste,2021-02-25,2532.53
156,Bruno Souza,26782525652,M,2019-02-04,DF,Brasília,Centro-Oeste,2020-06-29,4053.7
157,Ana Lima,18540088524,F,1966-09-14,MG,Belo Horizonte,Sudeste,2021-01-21,2873.89
158,Rafael Carvalho,28616416030,M,1969-10-08,CE,Fortaleza,Nordeste,2021-08-14,10045.73
159,Luiz Rocha,48449371594,M,1995-05-17,SP,São Paulo,Sudeste,2021-04-21,1963.07
160,Diego Santos,61797164292,M,1983-09-08,SC,Florianópolis,Sul,2020-07-24,2917.38
161,Paula Araújo,26640396778,F,2020-11-14,ES,Vitória,Sudeste,2020-10-19,2825.05
162,Diego Rocha,17839490938,M,1978-02-04,BA,Salvador,Nordeste,2021-06-11,3286.04
163,Ana Pereira,57256100835,F,1972-04-19,GO,Goiânia,Centro-Oeste,2020-07-12,4630.97
164,Diego Almeida,08185715882,F,1989-08-30,GO,Goiânia,Centro-Oeste,2020-01-20,2586.19
165,Vitória Costa,10058106496,F,1981-07-19,RS,Porto Alegre,Sul,2020-04-24,2783.95
166,Nathalia Gomes,61665030358,M,1972-02-10,PA,Belém,Norte,2020-01-01,1608.95
167,Otávio Carvalho,06548327886,F,2003-04-11,RS,Porto Alegre,Sul,2020-12-05,2793.79
168,Mariana Silva,02388456943,M,2003-03-25,PR,Curitiba,Sul,2021-01-12,1555.55
169,Gabriel Santos,34253310190,F,1990-03-21,DF,Brasília,Centro-Oeste,2021-05-21,2047.74
170,Mariana Rodrigues,71305053542,M,1967-03-28,CE,Fortaleza,Nordeste,2020-04-06,2512.93
171,Mariana Lima,85399469298,F,2016-09-22,RJ,Rio de Janeiro,Sudeste,2021-02-23,1510.98
172,Helena Carvalho,47780683680,M,2021-12-03,DF,Brasília,Centro-Oeste,2021-01-13,2758.57
173,Ana Araújo,98906536836,F,1986-11-30,CE,Fortaleza,Nordeste,2021-11-02,3235.37
174,João Araújo,27359789937,F,2001-04-08,ES,Vitória,Sudeste,2021-11-21,10228.03
175,Gabriel Almeida,43291456934,M,1984-10-27,CE,Fortaleza,Nordeste,2021-03-01,1850.94
176,Bruno Ribeiro,72375751229,F,2003-08-04,ES,Vitória,Sudeste,2020-03-12,2085.25
177,Thiago Rocha,43763565305,M,2022-04-12,PE,Recife,Nordeste,2021-10-17,2318.25
178,Otávio Oliveira,48000807337,M,1974-01-02,CE,Fortaleza,Nordeste,2020-03-21,1886.9
179,Rafael Gomes,03771771417,F,1973-10-01,ES,Vitória,Sudeste,2020-01-13,2227.1
180,Diego Santos,44029751275,M,2021-08-30,PE,Recife,Nordeste,2020-12-27,11062.22
181,Mariana Martins,63127157501,F,1992-08-15,MG,Belo Horizonte,Sudeste,2020-01-06,1657.17
182,Mariana Ribeiro,91040819609,M,2009-08-08,GO,Goiânia,Centro-Oeste,2020-02-29,2765.42
183,Carla Ribeiro,92922073466,M,2021-10-13,PA,Belém,Norte,2021-11-02,5108.98
184,Otávio Santos,13140439844,F,1967-05-27,AM,Manaus,Norte,2020-04-09,2067.13
185,Sabrina Souza,26083733177,F,1972-01-15,PR,Curitiba,Sul,2021-04-05,1695.98
186,Mariana Pereira,09375189966,F,2021-11-24,SP,São Paulo,Sudeste,2021-04-02,2814.59
187,Luiz Almeida,00103214086,M,1991-03-06,ES,Vitória,Sudeste,2020-07-04,2936.82
188,Vitória Souza,78463344949,M,2009-08-29,RS,Porto Alegre,Sul,2021-12-25,5733.85
189,Bruno Araújo,04537703875,M,2017-08-20,PA,Belém,Norte,2020-10-11,1929.4
190,Rafael Costa,05922020263,F,1983-10-14,SP,São Paulo,Sudeste,2021-05-09,1908.06
191,Luiz Martins,59861287555,F,2015-10-10,ES,Vitória,Sudeste,2020-04-16,5316.93
192,Vitória Lima,50625374696,F,2001-07-29,DF,Brasília,Centro-Oeste,2021-07-11,4621.08
193,Felipe Gomes,33391888721,M,2015-12-23,MG,Belo Horizonte,Sudeste,2021-12-30,7622.37
194,Luiz Costa,70220224327,F,2009-08-25,ES,Vitória,Sudeste,2020-10-01,2466.45
195,Felipe Lima,78106971122,M,2001-06-16,PE,Recife,Nordeste,2020-03-31,3404.32
196,Otávio Silva,39563811205,M,1993-10-07,SC,Florianópolis,Sul,2021-08-24,1658.24
197,Otávio Martins,37853133689,M,1971-07-24,DF,Brasília,Centro-Oeste,2020-04-08,1747.24
198,Diego Almeida,93283551054,M,2020-08-19,SP,São Paulo,Sudeste,2021-03-11,2767.2
199,Vitória Ribeiro,25997551826,F,2012-10-23,RS,Porto Alegre,Sul,2020-06-29,1765.12
200,Carla Ferreira,77303827205,F,2015-01-12,SC,Florianópolis,Sul,2021-08-07,2760.55
201,Luiz Carvalho,03874156055,F,2014-03-13,BA,Salvador,Nordeste,2021-12-18,10641.89
202,Carla Martins,45053534563,M,2007-07-15,SC,Florianópolis,Sul,2021-02-01,5989.32
203,João Carvalho,46226907220,M,1993-01-26,PR,Curitiba,Sul,2021-09-29,3811.55
204,Rafael Carvalho,31462835770,M,2012-05-05,GO,Goiânia,Centro-Oeste,2021-06-16,2925.99
205,Ana Oliveira,84133661147,F,2012-09-14,RS,Porto Alegre,Sul,2021-04-10,5614.58
206,Vitória Souza,45038187537,M,1966-11-18,BA,Salvador,Nordeste,2021-08-21,5463.49
207,Ana Costa,19771243375,F,1998-12-20,PA,Belém,Norte,2021-07-01,4776.83
208,Paula Rodrigues,06704881565,M,1986-08-31,SC,Florianópolis,Sul,2020-08-09,10299.72
209,Rafael Oliveira,56985788922,M,1968-04-23,PR,Curitiba,Sul,2021-12-30,2380.51
210,Vitória Silva,86250221074,M,1977-02-28,GO,Goiânia,Centro-Oeste,2021-01-03,23621.45
211,Vitória Gomes,64952361036,F,1992-11-17,PA,Belém,Norte,2021-08-22,2100.65
212,Helena Araújo,07064031147,M,1992-04-28,ES,Vitória,Sudeste,2021-06-03,2902.98
213,João Oliveira,16919265453,M,2017-07-31,BA,Salvador,Nordeste,2020-05-24,2282.31
214,Paula Ferreira,76294144097,M,1999-09-14,MG,Belo Horizonte,Sudeste,2020-06-02,24371.56
215,Vitória Ferreira,26612464350,F,2015-04-11,ES,Vitória,Sudeste,2021-07-22,2841.83
216,Paula Ribeiro,36844696516,F,2004-06-27,PE,Recife,Nordeste,2021-02-28,8776.46
217,Gabriel Almeida,09535976699,F,1971-11-09,SC,Florianópolis,Sul,2020-09-27,2605.22
218,Eduarda Ribeiro,91967261893,F,1976-02-04,SP,São Paulo,Sudeste,2020-08-04,11140.53
219,Carla Santos,86969602186,F,1987-11-05,SC,Florianópolis,Sul,2021-10-15,5256.68
220,Helena Ferreira,09455751171,F,2014-07-06,PR,Curitiba,Sul,2021-09-22,2200.5
221,Paula Lima,36647796572,M,1997-02-12,BA,Salvador,Nordeste,2020-01-22,8196.41
222,Eduarda Silva,02694631247,M,1970-06-16,SP,São Paulo,Sudeste,2020-04-11,2248.78
223,Luiz Costa,55497941395,F,1978-09-09,RS,Porto Alegre,Sul,2021-10-13,2964.9
224,Karina Gomes,05834945854,F,1997-09-17,BA,Salvador,Nordeste,2021-02-18,1520.64
225,Paula Souza,32885044122,F,1980-07-04,DF,Brasília,Centro-Oeste,2021-03-10,2250.38
226,Bruno Ferreira,88059468980,M,2010-06-22,MG,Belo Horizonte,Sudeste,2020-03-31,5978.68
227,Carla Rocha,64731942777,M,1983-01-17,PE,Recife,Nordeste,2021-05-30,9679.1
228,Bruno Carvalho,22103436188,F,2010-06-10,PE,Recife,Nordeste,2021-06-08,2552.14
229,Vitória Gomes,15804135558,F,2017-01-15,RJ,Rio de Janeiro,Sudeste,2020-04-24,9315.53
230,Bruno Silva,67887770482,M,2011-09-04,SP,São Paulo,Sudeste,2020-09-30,2139.98
231,Diego Araújo,13311657296,F,1975-06-15,RJ,Rio de Janeiro,Sudeste,2021-12-06,8356.54
232,Bruno Rodrigues,57747520787,F,2001-06-20,PR,Curitiba,Sul,2020-03-03,2167.0
233,Igor Oliveira,21748731032,M,2001-12-29,AM,Manaus,Norte,2021-09-18,3147.46
234,Rafael Lima,31311251394,M,1998-05-24,SP,São Paulo,Sudeste,2021-03-15,2390.86
235,Sabrina Rodrigues,32203440222,M,1984-12-01,BA,Salvador,Nordeste,2020-02-10,4291.1
236,Rafael Costa,98882138828,F,2014-03-12,CE,Fortaleza,Nordeste,2020-01-24,4955.79
237,Igor Costa,15749887308,F,1983-09-28,SP,São Paulo,Sudeste,2021-01-30,4570.08
238,Sabrina Martins,12146178558,M,2010-09-01,RJ,Rio de Janeiro,Sudeste,2020-06-01,2536.44
239,João Costa,25037551814,M,2003-01-26,SP,São Paulo,Sudeste,2020-05-11,2117.69
240,Luiz Silva,50189069705,M,1999-01-24,DF,Brasília,Centro-Oeste,2020-11-22,7378.13
241,Eduarda Ferreira,62476864025,M,1971-03-06,CE,Fortaleza,Nordeste,2020-07-30,8140.73
242,Vitória Pereira,56570168122,M,1984-10-06,ES,Vitória,Sudeste,2020-06-30,13353.16
243,Eduarda Santos,28519853101,M,1966-03-20,DF,Brasília,Centro-Oeste,2020-05-18,5035.93
244,Rafael Almeida,52769667904,F,1970-06-17,SC,Florianópolis,Sul,2020-03-21,8229.33
245,Gabriel Costa,46103897434,M,2017-11-25,PE,Recife,Nordeste,2021-01-10,9069.52
246,Ana Santos,23353524583,F,2021-01-04,RJ,Rio de Janeiro,Sudeste,2021-07-31,2451.48
247,Carla Silva,92429863489,M,1993-10-29,CE,Fortaleza,Nordeste,2021-03-30,1798.72
248,Eduarda Ribeiro,61649256265,M,1997-07-28,SP,São Paulo,Sudeste,2020-09-07,4979.27
249,Diego Ferreira,93927828366,F,2016-10-10,PA,Belém,Norte,2020-05-27,11494.61
250,Bruno Lima,17816337242,M,1971-06-19,AM,Manaus,Norte,2021-09-01,11410.54
251,Diego Rocha,26480223273,F,1981-05-30,RJ,Rio de Janeiro,Sudeste,2021-05-29,1864.42
252,Eduarda Silva,40172623134,M,2007-11-19,RJ,Rio de Janeiro,Sudeste,2021-11-15,5276.96
253,Eduarda Martins,07658861645,M,1986-09-20,GO,Goiânia,Centro-Oeste,2020-03-11,2622.71
254,Thiago Carvalho,95010359434,F,2013-02-22,PE,Recife,Nordeste,2020-04-27,1527.88
255,Luiz Ribeiro,32301119075,M,2014-08-18,PA,Belém,Norte,2020-01-17,2470.96
256,Igor Oliveira,41798604467,F,2015-07-25,SC,Florianópolis,Sul,2021-10-03,5908.87
257,Igor Carvalho,76540225068,F,1981-11-06,DF,Brasília,Centro-Oeste,2020-06-25,1832.84
258,Helena Lima,09695633118,M,1996-12-03,BA,Salvador,Nordeste,2020-03-01,11068.66
259,Felipe Carvalho,68110556715,M,1990-06-13,CE,Fortaleza,Nordeste,2020-04-08,2677.55
260,Eduarda Gomes,20909164385,F,2008-01-12,PR,Curitiba,Sul,2020-11-30,10669.76
261,João Araújo,48822543765,M,1998-07-16,MG,Belo Horizonte,Sudeste,2020-08-18,1686.69
262,João Silva,86688445066,M,2021-06-16,PR,Curitiba,Sul,2021-11-15,2177.68
263,Carla Ribeiro,82431427243,F,1981-09-05,SP,São Paulo,Sudeste,2020-08-16,2833.82
264,Ana Santos,65159606032,M,1977-06-16,PR,Curitiba,Sul,2020-05-03,7854.0
265,Luiz Santos,02362069808,M,1975-08-14,GO,Goiânia,Centro-Oeste,2020-12-03,5609.04
266,Helena Oliveira,09976441453,F,2013-01-13,SP,São Paulo,Sudeste,2021-09-06,3136.41
267,Felipe Santos,53303122153,M,1985-11-08,PA,Belém,Norte,2020-04-07,8659.72
268,Karina Costa,58592142931,M,1975-07-21,RS,Porto Alegre,Sul,2020-10-23,7119.44
269,Igor Lima,82415578112,F,2010-08-03,BA,Salvador,Nordeste,2021-09-05,1633.81
